시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,NH투자증권,005940,31.37543003136297,31.743009271396883,36.88156069724015,31900,33176,30943,101
KOSPI,LS에코에너지,229640,40.42915342564534,38.43040968013326,21.140436149163342,89400,92976,86718,75
KOSPI,한미약품,128940,31.623819475172986,41.105754202651895,27.27042781229124,436500,453960,423405,74
KOSPI,현대해상,001450,26.480302746662765,52.01109922961828,21.508599513835073,37900,39416,36763,116
KOSPI,SK증권,001510,36.14923046971933,42.17565017916628,21.675117860998274,3925,4082,3807,29
KOSPI,고려아연,010130,30.578829100353033,37.98207500430814,31.43909738545495,1405000,1461200,1362850,57
KOSPI,STX엔진,077970,36.97558010066651,39.33794381078545,23.68647459843192,45300,47112,43941,93
KOSPI,신성이엔지,011930,29.002805607473565,39.421968955233524,31.575223947176802,28800,29952,27936,95
KOSPI,HMM,011200,32.76333149510242,42.33520784606836,24.901459913771156,20250,21060,19642,115
KOSPI,에코프로머티,450080,39.410130634012184,33.13526822493847,27.454601141049338,64600,67184,62662,37
KOSPI,계양전기우,012205,35.09240041638328,45.95020703695024,18.95739329172454,15390,16005,14928,216
KOSPI,GS건설,006360,41.673696649389726,38.12060030256277,20.205702302989447,31000,32240,30070,48
KOSPI,KEC,092220,48.341948949439825,35.478211882928356,16.179834697283464,5830,6063,5655,121
KOSPI,한화,000880,30.185606986939163,31.727660402479174,38.08673261058166,134600,139984,130562,74
KOSPI,메리츠금융지주,138040,31.40198851947831,41.14746283925241,27.45055162150151,108900,113256,105633,96
KOSPI,진원생명과학,011000,35.42300337026031,48.12849294644205,16.448505918471813,1321,1373,1281,170
KOSPI,한국타이어앤테크놀로지,161390,34.5280722616279,42.675878962917416,22.796051010628876,61800,64272,59946,108
KOSPI,KT,030200,30.25598020521626,39.08224595910773,30.661776815908247,55700,57928,54029,119
KOSPI,코웨이,021240,38.43150844714176,39.43663075053743,22.131860802320805,93700,97448,90889,80
KOSPI,이마트,139480,30.7845689797203,40.66932626263213,28.54610773787981,93800,97552,90986,117
KOSPI,현대위아,011210,34.70232104993555,38.9045012689683,26.39317619098003,90300,93912,87591,79
KOSPI,아모레퍼시픽,090430,40.31071746914869,34.92991624510591,24.75936479562928,117300,121992,113781,70
KOSPI,대원전선우,006345,41.89894306735694,41.526934117303746,16.57412207028125,18360,19094,17809,58
KOSPI,CJ,001040,35.70219067938497,37.68641109748556,26.611401203361705,170200,177008,165094,89
KOSPI,한국콜마,161890,42.65065023235022,36.45048060910615,20.898870648659738,89200,92768,86524,110
KOSPI,기업은행,024110,27.126325127516278,29.22384953796047,43.64982384440713,20400,21216,19788,95
KOSPI,비에이치,090460,40.180401540353124,37.63981029279273,22.179788166854138,33700,35048,32689,89
KOSPI,GS,078930,35.16743303037283,37.55650562085513,27.27606134877204,75400,78416,73138,96
KOSPI,두산우,000155,34.47835182237816,36.20351832143934,29.31813283641474,627000,652080,608190,171
KOSPI,한화비전,489790,35.938531511612126,39.72123034517117,24.340236653100586,72700,75608,70519,37
KOSPI,삼성전기우,009155,38.61280365070887,39.34990318743349,22.037294651973756,433500,450840,420495,78
KOSPI,한국카본,017960,49.98304300192341,27.99083926991725,22.026116238043222,35750,37180,34677,111
KOSPI,한솔케미칼,014680,35.518571713704304,35.17145690372497,29.309972872686842,286500,297960,277905,82
KOSPI,HD현대마린엔진,071970,33.89969917861691,34.860735772974,31.2395665385252,76500,79560,74205,66
KOSPI,흥아해운,003280,47.19151572358318,39.44795017331052,13.36053447563533,2450,2548,2376,27
KOSPI,코오롱인더,120110,40.91230166335959,33.946073445535966,25.141627871336684,76500,79560,74205,62
KOSPI,오리온,271560,36.34086874553253,35.823365845648766,27.835763918702582,136400,141856,132308,147
KOSPI,세아베스틸지주,001430,32.49703828157644,45.54942873256748,21.95353000562385,64600,67184,62662,96
KOSPI,유한양행,000100,28.861205752513285,32.828902010827235,38.30989149160142,84100,87464,81577,86
KOSPI,SK바이오팜,326030,30.40344044894277,39.07225736859698,30.52430218246025,94600,98384,91762,100
KOSPI,삼성에피스홀딩스,0126Z0,31.520415491871358,42.1420449207485,26.33753958738014,485000,504400,470450,74
KOSPI,한전기술,052690,32.517451015808795,34.5381555777113,32.94439489659603,142500,148200,138225,62
KOSPI,LG유플러스,032640,29.593192480414455,36.64080004623844,33.76600449311486,15640,16265,15170,117
KOSPI,해성디에스,195870,33.81881258857257,41.38880902259225,24.792379878951298,81200,84448,78764,64
